"Category","Filename","LocalPath","Bytes","Sha256","SourceUrl"
"oge-originals","Donald-J-Trump-4.20.2026-278T.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald-J-Trump-4.20.2026-278T.pdf","2174415","191E89135107FEE06EA7655D071D92EEE5E266CDF4D6001E3527C3DA79B97AF0","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/CD75555856A7D2E485258DE4002DD4A0/$FILE/Donald-J-Trump-4.20.2026-278T.pdf"
"oge-originals","Trump, Donald J. 2025 Annual 278.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Trump, Donald J. 2025 Annual 278.pdf","4596319","46BDDC63DF2E6176B1904BE0C2F1BFE95AD63335F21FC07954EC601F3DB006A9","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4EC9A8E6DD078F2985258CA9002C9377/$FILE/Trump%2C%20Donald%20J.%202025%20Annual%20278.pdf"
"oge-originals","Trump, Donald J.-05.08.2026-278T(2).pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Trump, Donald J.-05.08.2026-278T(2).pdf","13265804","00E56352E83731329841CAEDAA09328CD87ED02EC235C07058A3B351407479BE","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/405E4EC4E27BE8D185258DF7002DD1C0/$FILE/Trump%2C%20Donald%20J.-05.08.2026-278T(2).pdf"
"oge-originals","Trump, Donald J.-05.08.2026-278T.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Trump, Donald J.-05.08.2026-278T.pdf","1227279","C4F1CEACA8D703769828CF69000425ACA5DBEBC30E2D82880F603984EF7AA51A","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5326D3AF5BE7C25385258DF7002DD1B7/$FILE/Trump%2C%20Donald%20J.-05.08.2026-278T.pdf"
"open-cabinet-cache","trump-donald-j-other-20250614.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\open-cabinet-cache\trump-donald-j-other-20250614.pdf","4596319","46BDDC63DF2E6176B1904BE0C2F1BFE95AD63335F21FC07954EC601F3DB006A9","https://open-cabinet.org/data/source-docs/trump-donald-j-other-20250614.pdf"
"open-cabinet-cache","trump-donald-j-transaction_278t-20250819.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\open-cabinet-cache\trump-donald-j-transaction_278t-20250819.pdf","3701160","69EEBAEC96C824352BF5A60A7664C1941F77CE10DD12B14DEC020F0C410B5FF1","https://open-cabinet.org/data/source-docs/trump-donald-j-transaction_278t-20250819.pdf"
"open-cabinet-cache","trump-donald-j-transaction_278t-20250906.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\open-cabinet-cache\trump-donald-j-transaction_278t-20250906.pdf","1333314","BAE8F150A50B1DE9E3EE19417BFC59172F1A7D0CBC3FAA22E9202713112D79F0","https://open-cabinet.org/data/source-docs/trump-donald-j-transaction_278t-20250906.pdf"
"open-cabinet-cache","trump-donald-j-transaction_278t-20251115.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\open-cabinet-cache\trump-donald-j-transaction_278t-20251115.pdf","1150858","CC66D6294E60D93F20CD834668FAFFB96251114316F2F9A1D182EBC32245CD24","https://open-cabinet.org/data/source-docs/trump-donald-j-transaction_278t-20251115.pdf"
"open-cabinet-cache","trump-donald-j-transaction_278t-20251122.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\open-cabinet-cache\trump-donald-j-transaction_278t-20251122.pdf","864691","6B9258F6B3B1E46A5A1B73CAED93E8751B1A3FED5BEFA59CA058BBD0BD949C36","https://open-cabinet.org/data/source-docs/trump-donald-j-transaction_278t-20251122.pdf"
"open-cabinet-cache","trump-donald-j-transaction_278t-20251220.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\open-cabinet-cache\trump-donald-j-transaction_278t-20251220.pdf","3004431","22BC47470752FC85A42804A260D53BC8FC232B5476535FAC32E43134FB047D1F","https://open-cabinet.org/data/source-docs/trump-donald-j-transaction_278t-20251220.pdf"
"open-cabinet-cache","trump-donald-j-transaction_278t-20260116.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\open-cabinet-cache\trump-donald-j-transaction_278t-20260116.pdf","3040217","3D2F74D9CC5F1A2A7819E90AEA17357B40DDBCA9839BF89C8B3F047C6F2E33CE","https://open-cabinet.org/data/source-docs/trump-donald-j-transaction_278t-20260116.pdf"
"open-cabinet-cache","trump-donald-j-transaction_278t-20260304.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\open-cabinet-cache\trump-donald-j-transaction_278t-20260304.pdf","2589329","460E19FA82EF26CE297F52868A688D321A372B2117DF260D990D3764C3778091","https://open-cabinet.org/data/source-docs/trump-donald-j-transaction_278t-20260304.pdf"
"open-cabinet-cache","trump-donald-j-transaction_278t-20260425.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\open-cabinet-cache\trump-donald-j-transaction_278t-20260425.pdf","2174415","191E89135107FEE06EA7655D071D92EEE5E266CDF4D6001E3527C3DA79B97AF0","https://open-cabinet.org/data/source-docs/trump-donald-j-transaction_278t-20260425.pdf"
